Title,Available,Price,Rating
A Light in the Attic,"['In', 'stock']",51.77,Three
Tipping the Velvet,"['In', 'stock']",53.74,One
Soumission,"['In', 'stock']",50.10,One
Sharp Objects,"['In', 'stock']",47.82,Four
Sapiens: A Brief History of Humankind,"['In', 'stock']",54.23,Five
The Requiem Red,"['In', 'stock']",22.65,One
The Dirty Little Secrets of Getting Your Dream Job,"['In', 'stock']",33.34,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","['In', 'stock']",17.93,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"['In', 'stock']",22.60,Four
The Black Maria,"['In', 'stock']",52.15,One
"Starving Hearts (Triangular Trade Trilogy, #1)","['In', 'stock']",13.99,Two
Shakespeare's Sonnets,"['In', 'stock']",20.66,Four
Set Me Free,"['In', 'stock']",17.46,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),"['In', 'stock']",52.29,Five
Rip it Up and Start Again,"['In', 'stock']",35.02,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","['In', 'stock']",57.25,Three
Olio,"['In', 'stock']",23.88,One
Mesaerion: The Best Science Fiction Stories 1800-1849,"['In', 'stock']",37.59,One
Libertarianism for Beginners,"['In', 'stock']",51.33,Two
It's Only the Himalayas,"['In', 'stock']",45.17,Two
